script_name,trade_base,price_in,quantity_in,quantity_left,date_in,amount_in,balance_left,date_out,price_out,P/L (INR),P/L in %,days_taken
JUBLFOOD,ML-5,460.15,20.0,0.0,2024-04-03,9203.0,0.0,2024-05-30,517.65,1150.0,12.495925241768989,57
SHARDACROP,ML-5,388.95,40.0,0.0,2024-04-05,15558.0,0.0,2024-05-16,419.12,1206.8000000000006,7.7567810772592924,41
LINC L,ML-5,595.7,25.0,0.0,2024-04-08,14892.500000000002,0.0,2024-05-02,654.0,1457.4999999999989,9.786805438979343,24
STYLAM INDUS,ML-5,1705.25,7.0,0.0,2024-04-08,11936.75,0.0,2024-06-26,1802.7,682.1500000000003,5.714704588769978,79
LA OPALA RG LTD,ML-5,345.75,30.0,30.0,2024-04-10,10372.5,10372.5,,,,0.0,0
BALRAMCHIN,ML-5,387.45,40.0,0.0,2024-04-24,15498.0,0.0,2024-06-13,420.1,1306.0000000000014,8.42689379274746,50
EMAMILTD,ML-5,476.05,30.0,0.0,2024-04-26,14281.5,0.0,2024-05-07,505.3,877.5,6.1443125722088014,11
UPL,ML-5,512.4,30.0,0.0,2024-04-26,15372.0,0.0,2024-09-03,598.25,2575.500000000001,16.754488680718193,130
Lovable,BTS,135.85,100.0,0.0,2024-05-03,13585.0,0.0,2024-07-16,151.05,1520.0000000000018,11.1888111888112,74
JUBLFOOD,LONG,519.62,10.0,0.0,2024-05-30,5196.2,0.0,2024-09-06,646.15,1265.2999999999997,24.350486894268883,99
CENTRALBANK,,59.0,200.0,0.0,2024-06-04,11800.0,0.0,2024-06-06,65.1,1219.9999999999989,10.338983050847448,2
IOB,,60.5,200.0,0.0,2024-06-04,12100.0,0.0,2024-06-06,66.5,1200.0,9.917355371900827,2
JUNIORBEES,,709.53,10.0,10.0,2024-06-04,7095.299999999999,7095.299999999999,,,,0.0,0
BANKBEES,,494.45,20.0,20.0,2024-06-04,9889.0,9889.0,,,,0.0,0
NIFTYBEES,,246.75,40.0,40.0,2024-06-04,9870.0,9870.0,,,,0.0,0
TATAPOWER,,403.35,15.0,0.0,2024-06-04,6050.25,0.0,2024-09-03,433.9,458.2499999999993,7.574067187306298,91
HCLTECH,ML-5,1396.15,15.0,0.0,2024-06-06,20942.25,0.0,2024-09-03,1568.53,2585.699999999998,12.346810872757215,89
Dwarkesh,ML-5,73.47,100.0,100.0,2024-06-11,7347.0,7347.0,,,,0.0,0
AGSTRA,ML-5,80.2,120.0,0.0,2024-06-12,9624.0,0.0,2024-06-19,92.45,1470.0,15.27431421446384,7
GREENPANEL,ML-5,317.1,30.0,0.0,2024-06-12,9513.0,0.0,2024-08-01,358.25,1234.4999999999993,12.976978871018598,50
KRBL,ML-5,303.15,50.0,10.0,2024-06-14,15157.499999999998,3031.5,2024-07-09,335.5,1294.000000000001,10.671284842487227,25
BANDHANBNK,ML-5,208.13,50.0,0.0,2024-06-20,10406.5,0.0,2024-07-30,219.8,583.5000000000008,5.607072502762704,40
SPARC,ML-5,244.37,40.0,40.0,2024-06-25,9774.8,9774.8,,,,0.0,0
SYRMA,ML-5,511.75,20.0,0.0,2024-06-25,10235.0,0.0,2024-11-04,520.65,177.99999999999955,1.7391304347826042,132
SKIL,ML-5,6.25,1000.0,0.0,2024-07-01,6250.0,0.0,2024-08-05,7.26,1009.9999999999998,16.159999999999997,35
DANGEE,ML-5,7.89,700.0,0.0,2024-07-01,5523.0,0.0,2024-09-17,9.06,819.0000000000006,14.828897338403053,78
AGI,ML-5,723.0,10.0,0.0,2024-07-01,7230.0,0.0,2024-07-03,816.01,930.0999999999999,12.86445366528354,2
EXPLEOSOL,DMA,1282.46,17.0,17.0,2024-07-01,21801.82,21801.82,,,,0.0,0
EXPLEOSOL,DMA,1300.8,10.0,0.0,2024-07-01,13008.0,0.0,2024-09-02,1400.86,1000.5999999999995,7.692189421894215,63
BERGEPAINT,ML-5,516.9,40.0,0.0,2024-07-03,20676.0,0.0,2024-08-06,541.19,971.6000000000031,4.699168117624314,34
MALUPAPER,ML-5,38.91,200.0,0.0,2024-07-03,7781.999999999999,0.0,2024-07-16,43.82,982.0000000000007,12.618864045232597,13
BSHSL,ML-5,217.0,40.0,40.0,2024-07-03,8680.0,8680.0,,,,0.0,0
MONTECARLO,ML-5,622.6,20.0,0.0,2024-07-03,12452.0,0.0,2024-07-04,670.542,958.8400000000001,7.700289110183103,1
DIVGIITTS,ML-5,765.95,20.0,20.0,2024-05-07,15319.0,15319.0,,,,0.0,0
LYKALABS,ML-5,112.9,100.0,0.0,2024-07-08,11290.0,0.0,2024-07-29,123.97,1106.9999999999993,9.805137289636841,21
PARAGMILK,ML-5,179.0,80.0,0.0,2024-07-10,14320.0,0.0,2024-07-16,204.65,2052.0000000000005,14.329608938547489,6
RAJESHEXPO,AVG,307.4,15.0,15.0,2024-07-16,4611.0,4611.0,,,,0.0,0
SINDHUTRAD,ML-5,19.6,500.0,0.0,2024-07-16,9800.0,0.0,2024-08-13,21.01,705.0000000000001,7.1938775510204085,28
UNIDT,ML-5,262.97,40.0,40.0,2024-07-16,10518.800000000001,10518.800000000001,,,,0.0,0
ALANKIT,BTS,24.72,500.0,0.0,2024-07-22,12360.0,0.0,2024-09-03,26.26,770.0000000000014,6.229773462783183,43
HERANBA,AVG,364.5,10.0,0.0,2024-07-22,3645.0,0.0,2024-11-07,550.4,1858.9999999999998,51.001371742112475,108
RAIN,AVG,160.15,45.0,45.0,2024-07-22,7206.75,7206.75,,,,0.0,0
REDINGTON,,200.32,40.0,40.0,2024-07-22,8012.799999999999,8012.799999999999,,,,0.0,0
DIVGIITTS,AVG,691.0,10.0,10.0,2024-07-23,6910.0,6910.0,,,,0.0,0
BANDHANBNK,AVG,187.65,30.0,0.0,2024-07-26,5629.5,0.0,2024-07-30,219.8,964.5000000000002,17.13296029842793,4
MANAKSTEEL,ML-5,57.62,200.0,0.0,2024-07-26,11524.0,0.0,2024-09-20,66.318,1739.6000000000001,15.095452967719543,56
MALUPAPER,ML-5,41.97,200.0,0.0,2024-07-29,8394.0,0.0,2024-07-31,53.1,2226.0000000000005,26.518942101501082,2
BANDHANBNK,LONG,219.8,25.0,25.0,2024-07-30,5495.0,5495.0,,,,0.0,0
CONSOFINVT,alert,208.0,75.0,0.0,2024-07-30,15600.0,0.0,2024-08-20,228.6,1544.9999999999995,9.90384615384615,21
CONSOFINVT,LONG,207.5,25.0,25.0,2024-07-30,5187.5,5187.5,,,,0.0,0
RAJRILTD-T,ML-5,22.05,250.0,0.0,2024-07-30,5512.5,0.0,2024-09-20,24.5,612.4999999999998,11.111111111111107,52
SINDHUTRAD,AVG,18.58,200.0,0.0,2024-08-01,3715.9999999999995,0.0,2024-09-04,23.095,903.0000000000001,24.300322927879446,34
DANGEE,AVG,7.31,300.0,0.0,2024-08-01,2193.0,0.0,2024-09-17,7.953,192.9000000000002,8.796169630642964,47
BERGEPAINT,LONG,542.0,10.0,10.0,2024-08-06,5420.0,5420.0,,,,0.0,0
SHYAMCENT,alert,18.18,300.0,300.0,2024-08-07,5454.0,5454.0,,,,0.0,0
DIGIDRIVE,alert,38.9,200.0,0.0,2024-08-07,7780.0,0.0,2024-08-12,48.56,1932.0000000000007,24.832904884318776,5
CLSEL,DMA,234.0,20.0,0.0,2024-08-07,4680.0,0.0,2024-10-15,324.2,1803.9999999999998,38.547008547008545,69
DIGIDRIVE,LONG,38.5,100.0,0.0,2024-08-07,3850.0,0.0,2024-09-05,49.8,1129.9999999999998,29.350649350649345,29
YATHARTH,DMA,440.85,12.0,0.0,2024-08-07,5290.200000000001,0.0,2024-09-05,524.05,998.3999999999992,18.872632414653495,29
KAMATHOTEL,LONG,242.0,40.0,40.0,2024-08-08,9680.0,9680.0,,,,0.0,0
MUFIN,ML-5,127.0,75.0,75.0,2024-08-08,9525.0,9525.0,,,,0.0,0
GAEL,ML-5,130.56,75.0,0.0,2024-08-09,9792.0,0.0,2024-08-27,145.65,1131.7500000000002,11.557904411764708,18
UYFINCORP,ML-5,26.54,200.0,0.0,2024-08-14,5308.0,0.0,2024-09-20,30.27,746.0000000000001,14.054257724189902,37
BANDHANBNK,LONG,192.3,10.0,10.0,2024-08-16,1923.0,1923.0,,,,0.0,0
RAJESHEXPO,AVG,296.95,10.0,10.0,2024-08-21,2969.5,2969.5,,,,0.0,0
SYRMA,AVG,430.95,10.0,0.0,2024-08-21,4309.5,0.0,2024-11-07,535.375,1044.25,24.23134934447152,78
JETFREIGHT,JK,19.51,500.0,0.0,2024-08-23,9755.0,0.0,2024-08-26,21.6,1045.0,10.712455151204509,3
RAYMOND,JK,2104.3,5.0,5.0,2024-08-23,10521.5,10521.5,,,,0.0,0
SEPC,BTS,25.79,200.0,0.0,2024-08-26,5158.0,0.0,2024-09-06,29.87,816.0000000000003,15.820085304381552,11
JETAIRWAYS,alert,45.97,100.0,100.0,2024-08-26,4597.0,4597.0,,,,0.0,0
SUPERSPIN,JK,9.25,1000.0,0.0,2024-08-26,9250.0,0.0,2024-08-28,10.05,800.0000000000007,8.648648648648656,2
ADSL,JK,229.48,70.0,0.0,2024-08-26,16063.599999999999,0.0,2024-08-27,245.3,1107.4000000000015,6.893846958340606,1
PRUDMOULI,alert,24.69,200.0,0.0,2024-08-26,4938.0,0.0,2024-08-29,28.9,841.9999999999994,17.051437829080587,3
GAEL,LONG,145.65,35.0,35.0,2024-08-27,5097.75,5097.75,,,,0.0,0
GLOBAL,alert,204.85,50.0,50.0,2024-08-27,10242.5,10242.5,,,,0.0,0
TATAELXSI,JK,8711.5,2.0,2.0,2024-08-27,17423.0,17423.0,,,,0.0,0
TVSHLTD,JK,14842.45,1.0,1.0,2024-08-27,14842.45,14842.45,,,,0.0,0
UCAL,JK,226.5,40.0,40.0,2024-08-28,9060.0,9060.0,,,,0.0,0
GEOJITFSL,JK,131.5,100.0,0.0,2024-08-28,13150.0,0.0,2024-09-03,143.163,1166.300000000001,8.869201520912556,6
VHL,JK,4291.75,2.0,0.0,2024-08-28,8583.5,0.0,2024-10-21,4652.15,720.7999999999993,8.397506844527282,54
IMPAL,JK,1358.13,10.0,0.0,2024-08-28,13581.300000000001,0.0,2024-09-06,1437.43,792.9999999999995,5.838910855367303,9
VIMTALABS,JK,672.95,10.0,2.0,2024-08-29,6729.5,1345.9,2024-11-11,792.6,957.1999999999998,17.779924214280403,74
VIPIND,alert,489.83,20.0,0.0,2024-08-29,9796.6,0.0,2024-09-24,574.65,1696.3999999999999,17.31621174693261,26
SIMBHALS-T,ML-5,29.5,200.0,200.0,2024-09-02,5900.0,5900.0,,,,0.0,0
HARDWYN,ML-5,30.78,200.0,0.0,2024-09-02,6156.0,0.0,2024-09-13,38.1,1464.0,23.781676413255358,11
IRIS,ML-5,70.79,100.0,100.0,2024-09-02,7079.000000000001,7079.000000000001,,,,0.0,0
GLOBUSSPR,LONG,1140.8,4.0,4.0,2024-09-02,4563.2,4563.2,,,,0.0,0
UPL,LONG,598.75,10.0,10.0,2024-09-03,5987.5,5987.5,,,,0.0,0
TATAPOWER,LONG,433.7,10.0,10.0,2024-09-03,4337.0,4337.0,,,,0.0,0
GVKPIL-T,alert,6.07,1000.0,1000.0,2024-09-03,6070.0,6070.0,,,,0.0,0
IPL,alert,229.95,40.0,40.0,2024-09-03,9198.0,9198.0,,,,0.0,0
ARCHIES,JK,28.06,250.0,0.0,2024-09-03,7015.0,0.0,2024-09-04,32.76,1174.9999999999998,16.74982181040627,1
FSC,alert,3.37,1000.0,1000.0,2024-09-05,3370.0,3370.0,,,,0.0,0
salasar,JK,18.65,300.0,0.0,2024-09-05,5595.0,0.0,2024-09-10,21.39,822.0000000000006,14.691689008042907,5
EASEMYTRIP,,44.1,100.0,100.0,2024-09-05,4410.0,4410.0,,,,0.0,0
SIGACHI,DMA,57.49,400.0,400.0,2024-09-05,22996.0,22996.0,,,,0.0,0
BEARDSELL,JK,38.86,100.0,0.0,2024-09-09,3886.0,0.0,2024-09-10,47.27,841.0000000000003,21.64179104477613,1
SUMICHEM,,561.5,20.0,0.0,2024-09-10,11230.0,0.0,2024-09-17,619.4,1157.9999999999995,10.311665182546745,7
HARDWYN,AVG,30.97,100.0,0.0,2024-09-11,3097.0,0.0,2024-09-13,38.1,713.0000000000002,23.022279625443986,2
RAYMOND,AVG,1856.525,2.0,2.0,2024-09-11,3713.05,3713.05,,,,0.0,0
MEDICAMEQ,alert,505.0,20.0,0.0,2024-09-12,10100.0,0.0,2024-09-27,562.4,1147.9999999999995,11.36633663366336,15
SAH,ML-5,85.0,100.0,10.0,2024-09-12,8500.0,850.0,2024-10-25,96.35,1021.4999999999995,13.352941176470582,43
BLSE,alert,255.48,40.0,40.0,2024-09-13,10219.199999999999,10219.199999999999,,,,0.0,0
EQUITASBNK,alert,85.37,120.0,120.0,2024-09-13,10244.400000000001,10244.400000000001,,,,0.0,0
WILLAMAGOR,JK,41.6,100.0,100.0,2024-09-13,4160.0,4160.0,,,,0.0,0
MICEL,JK,94.1,100.0,0.0,2024-09-13,9410.0,0.0,2024-09-17,104.13,1003.0000000000001,10.658873538788525,4
HARDWYN,LONG,38.25,100.0,100.0,2024-09-13,3825.0,3825.0,,,,0.0,0
FSC,AVG,2.79,500.0,500.0,2024-09-16,1395.0,1395.0,,,,0.0,0
KOHINOOR,JK,44.7,100.0,100.0,2024-09-16,4470.0,4470.0,,,,0.0,0
ORICONENT,JK,40.6,200.0,200.0,2024-09-16,8120.0,8120.0,,,,0.0,0
NAGAFERT,JK,11.1,500.0,0.0,2024-09-16,5550.0,0.0,2024-10-10,12.34,620.0000000000001,11.171171171171174,24
BAIDFIN,alert,16.43,500.0,500.0,2024-09-16,8215.0,8215.0,,,,0.0,0
ASRL,AVG,16.4,100.0,100.0,2024-09-17,1639.9999999999998,1639.9999999999998,,,,0.0,0
MIRZAINT,JK,47.4,100.0,100.0,2024-09-18,4740.0,4740.0,,,,0.0,0
CARERATING,alert,1033.65,10.0,0.0,2024-09-18,10336.5,0.0,2024-10-08,1187.385,1537.349999999999,14.873022783340579,20
BHANDARI,JK,7.63,1000.0,1000.0,2024-09-18,7630.0,7630.0,,,,0.0,0
BCLIND,BTS,67.88,100.0,100.0,2024-09-23,6788.0,6788.0,,,,0.0,0
BOHRAIND,alert,14.4,700.0,50.0,2024-09-23,10080.0,720.0,2024-10-14,16.54,1390.9999999999993,14.861111111111104,21
PALREDTEC,alert,117.49,100.0,0.0,2024-09-23,11749.0,0.0,2024-09-24,138.22,2073.0000000000005,17.644054813175593,1
PAVNAIND,ML-5,491.0,25.0,0.0,2024-09-23,12275.0,0.0,2024-09-25,526.88,896.9999999999999,7.307535641547861,2
TATVA,alert,1048.0,5.0,5.0,2024-09-24,5240.0,5240.0,,,,0.0,0
VCL,alert,0.88,4000.0,4000.0,2024-09-25,3520.0,3520.0,,,,0.0,0
SMLT,alert,197.0,50.0,50.0,2024-09-30,9850.0,9850.0,,,,0.0,0
VIPIND,ML-5,538.3,20.0,20.0,2024-09-30,10766.0,10766.0,,,,0.0,0
AMOL,alert,31.84,200.0,200.0,2024-10-01,6368.0,6368.0,,,,0.0,0
STANCAP,alert,1.55,3500.0,3500.0,2024-10-01,5425.0,5425.0,,,,0.0,0
AHLEAST,JK,171.24,50.0,0.0,2024-10-01,8562.0,0.0,2024-10-17,181.35,505.49999999999926,5.903994393833208,16
DISHTV,alert,14.94,400.0,400.0,2024-10-01,5976.0,5976.0,,,,0.0,0
HTMEDIA,ML-5,25.79,200.0,200.0,2024-10-01,5158.0,5158.0,,,,0.0,0
MIDHANI,alert,400.6,13.0,13.0,2024-10-01,5207.8,5207.8,,,,0.0,0
MOIL,alert,405.85,12.0,12.0,2024-10-01,4870.200000000001,4870.200000000001,,,,0.0,0
PRINCEPIPE,alert,561.0,12.0,12.0,2024-10-01,6732.0,6732.0,,,,0.0,0
UCOBANK,alert,48.37,150.0,150.0,2024-10-01,7255.5,7255.5,,,,0.0,0
Anuh Pharma,alert,208.6,50.0,50.0,2024-09-24,10430.0,10430.0,,,,0.0,0
MOIL,alert,405.9,12.0,12.0,2024-10-01,4870.799999999999,4870.799999999999,,,,0.0,0
Pradeep Phospha,alert,84.35,100.0,0.0,2024-10-01,8435.0,0.0,2024-10-22,91.49,714.0,8.464730290456433,21
Redington,alert,180.41,40.0,40.0,2024-10-04,7216.4,7216.4,,,,0.0,0
BIRLACORPN,alert,1249.05,4.0,4.0,2024-10-07,4996.2,4996.2,,,,0.0,0
JKLAKSHMI,alert,807.15,8.0,8.0,2024-10-07,6457.2,6457.2,,,,0.0,0
JKLAKSHMI,alert,807.95,5.0,5.0,2024-10-07,4039.75,4039.75,,,,0.0,0
ASHOKAMET,JK,22.04,250.0,0.0,2024-10-10,5510.0,0.0,2024-10-11,27.546,1376.5,24.981851179673324,1
RHETAN,BTS,19.06,250.0,250.0,2024-10-10,4765.0,4765.0,,,,0.0,0
HINDWAREAP,WL-5,341.86,20.0,20.0,2024-10-17,6837.200000000001,6837.200000000001,,,,0.0,0
STANCAP,AVG,1.14,1000.0,1000.0,2024-10-18,1140.0,1140.0,,,,0.0,0
MUKKA,,46.92,100.0,100.0,2024-10-21,4692.0,4692.0,,,,0.0,0
INDIGOPNTS,BTS,1653.0,4.0,4.0,2024-10-21,6612.0,6612.0,,,,0.0,0
ATALREAL,alert,11.6,500.0,0.0,2024-10-29,5800.0,0.0,2024-11-04,12.5,450.00000000000017,7.758620689655175,6
GMDCLTD,,374.8,40.0,40.0,2024-11-01,14992.0,14992.0,,,,0.0,0
HMAAGRO,,48.9,200.0,200.0,2024-11-04,9780.0,9780.0,,,,0.0,0
SHANKARA,,530.2,20.0,0.0,2024-11-05,10604.0,0.0,2024-11-07,563.93,674.5999999999981,6.36175028291209,2
MAHSEAMLES,,659.0,20.0,20.0,2024-11-06,13180.0,13180.0,,,,0.0,0
LAGNAM,,126.0,100.0,100.0,2024-11-06,12600.0,12600.0,,,,0.0,0
IPL,AVG,211.53,20.0,20.0,2024-11-07,4230.6,4230.6,,,,0.0,0
SKMEGGPROD,ML-5,249.0,40.0,40.0,2024-11-07,9960.0,9960.0,,,,0.0,0
SKMEGGPROD,ML-5,249.0,30.0,30.0,2024-11-07,7470.0,7470.0,,,,0.0,0
ALUFLUOR,DMA,413.5,20.0,5.0,2024-11-08,8270.0,2067.5,2024-11-14,497.15,1254.7499999999995,20.229746070133007,6
HLEGLAS,ML-6,403.2,20.0,20.0,2024-11-12,8064.0,8064.0,,,,0.0,0
ARSHIYA,alert,4.15,1000.0,0.0,2024-11-12,4150.0,0.0,2024-11-14,4.52,369.9999999999992,8.91566265060239,2
